schema_version,step,time_s,bin_index,r_inner_m,r_outer_m,r_center_m,mean_b_t,sample_count,step_max_b_t,recommended_dt_s,profile_kind
2,200,2.0000000233721948e-05,14,0.21875,0.234375,0.2265625,27.51676254272461,45,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,15,0.234375,0.25,0.2421875,26.96218023908899,47,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,16,0.25,0.265625,0.2578125,26.550276980680579,34,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,17,0.265625,0.28125,0.2734375,26.542996406555176,36,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,18,0.28125,0.296875,0.2890625,26.939321828442949,43,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,19,0.296875,0.3125,0.3046875,27.513489271465101,38,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,20,0.3125,0.328125,0.3203125,27.548896517072404,35,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,21,0.328125,0.34375,0.3359375,27.466152494603936,44,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,22,0.34375,0.359375,0.3515625,27.441828771071002,44,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,23,0.359375,0.375,0.3671875,28.289672605452999,31,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,24,0.375,0.390625,0.3828125,27.408076109709562,27,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,25,0.390625,0.40625,0.3984375,27.222446441650391,31,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,26,0.40625,0.421875,0.4140625,0,0,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,27,0.421875,0.4375,0.4296875,0,0,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,28,0.4375,0.453125,0.4453125,0,0,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,29,0.453125,0.46875,0.4609375,0,0,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,30,0.46875,0.484375,0.4765625,0,0,33.587570190429688,3.0877170044557055e-11,uniform
2,200,2.0000000233721948e-05,31,0.484375,0.5,0.4921875,0,0,33.587570190429688,3.0877170044557055e-11,uniform
